source,match_id,home_team,away_team,group,date,home_win_prob,draw_prob,away_win_prob,home_win_odds,draw_odds,away_win_odds,extra
openfootball,norway_vs_senegal,Norway,Senegal,I,2026-06-22,,,,,,,"{""round"": ""Matchday 12"", ""time"": ""20:00 UTC-4"", ""ground"": ""New York/New Jersey (East Rutherford)""}"
openfootball,norway_vs_france,Norway,France,I,2026-06-26,,,,,,,"{""round"": ""Matchday 16"", ""time"": ""15:00 UTC-4"", ""ground"": ""Boston (Foxborough)""}"
openfootball,senegal_vs_iraq,Senegal,Iraq,I,2026-06-26,,,,,,,"{""round"": ""Matchday 16"", ""time"": ""15:00 UTC-4"", ""ground"": ""Toronto""}"
openfootball,argentina_vs_algeria,Argentina,Algeria,J,2026-06-16,,,,,,,"{""round"": ""Matchday 6"", ""time"": ""20:00 UTC-5"", ""ground"": ""Kansas City""}"
openfootball,austria_vs_jordan,Austria,Jordan,J,2026-06-16,,,,,,,"{""round"": ""Matchday 6"", ""time"": ""21:00 UTC-7"", ""ground"": ""San Francisco Bay Area (Santa Clara)""}"
openfootball,argentina_vs_austria,Argentina,Austria,J,2026-06-22,,,,,,,"{""round"": ""Matchday 12"", ""time"": ""12:00 UTC-5"", ""ground"": ""Dallas (Arlington)""}"
openfootball,jordan_vs_algeria,Jordan,Algeria,J,2026-06-22,,,,,,,"{""round"": ""Matchday 12"", ""time"": ""20:00 UTC-7"", ""ground"": ""San Francisco Bay Area (Santa Clara)""}"
openfootball,algeria_vs_austria,Algeria,Austria,J,2026-06-27,,,,,,,"{""round"": ""Matchday 17"", ""time"": ""21:00 UTC-5"", ""ground"": ""Kansas City""}"
openfootball,jordan_vs_argentina,Jordan,Argentina,J,2026-06-27,,,,,,,"{""round"": ""Matchday 17"", ""time"": ""21:00 UTC-5"", ""ground"": ""Dallas (Arlington)""}"
openfootball,portugal_vs_dr_congo,Portugal,DR Congo,K,2026-06-17,,,,,,,"{""round"": ""Matchday 7"", ""time"": ""12:00 UTC-5"", ""ground"": ""Houston""}"
openfootball,uzbekistan_vs_colombia,Uzbekistan,Colombia,K,2026-06-17,,,,,,,"{""round"": ""Matchday 7"", ""time"": ""20:00 UTC-6"", ""ground"": ""Mexico City""}"
openfootball,portugal_vs_uzbekistan,Portugal,Uzbekistan,K,2026-06-23,,,,,,,"{""round"": ""Matchday 13"", ""time"": ""12:00 UTC-5"", ""ground"": ""Houston""}"
openfootball,colombia_vs_dr_congo,Colombia,DR Congo,K,2026-06-23,,,,,,,"{""round"": ""Matchday 13"", ""time"": ""20:00 UTC-6"", ""ground"": ""Guadalajara (Zapopan)""}"
openfootball,colombia_vs_portugal,Colombia,Portugal,K,2026-06-27,,,,,,,"{""round"": ""Matchday 17"", ""time"": ""19:30 UTC-4"", ""ground"": ""Miami (Miami Gardens)""}"
openfootball,dr_congo_vs_uzbekistan,DR Congo,Uzbekistan,K,2026-06-27,,,,,,,"{""round"": ""Matchday 17"", ""time"": ""19:30 UTC-4"", ""ground"": ""Atlanta""}"
openfootball,england_vs_croatia,England,Croatia,L,2026-06-17,,,,,,,"{""round"": ""Matchday 7"", ""time"": ""15:00 UTC-5"", ""ground"": ""Dallas (Arlington)""}"
openfootball,ghana_vs_panama,Ghana,Panama,L,2026-06-17,,,,,,,"{""round"": ""Matchday 7"", ""time"": ""19:00 UTC-4"", ""ground"": ""Toronto""}"
openfootball,england_vs_ghana,England,Ghana,L,2026-06-23,,,,,,,"{""round"": ""Matchday 13"", ""time"": ""16:00 UTC-4"", ""ground"": ""Boston (Foxborough)""}"
openfootball,panama_vs_croatia,Panama,Croatia,L,2026-06-23,,,,,,,"{""round"": ""Matchday 13"", ""time"": ""19:00 UTC-4"", ""ground"": ""Toronto""}"
openfootball,panama_vs_england,Panama,England,L,2026-06-27,,,,,,,"{""round"": ""Matchday 17"", ""time"": ""17:00 UTC-4"", ""ground"": ""New York/New Jersey (East Rutherford)""}"
openfootball,croatia_vs_ghana,Croatia,Ghana,L,2026-06-27,,,,,,,"{""round"": ""Matchday 17"", ""time"": ""17:00 UTC-4"", ""ground"": ""Philadelphia""}"
openfootball,2a_vs_2b,2A,2B,,2026-06-28,,,,,,,"{""round"": ""Round of 32"", ""time"": ""12:00 UTC-7"", ""ground"": ""Los Angeles (Inglewood)""}"
openfootball,1e_vs_3a_b_c_d_f,1E,3A/B/C/D/F,,2026-06-29,,,,,,,"{""round"": ""Round of 32"", ""time"": ""16:30 UTC-4"", ""ground"": ""Boston (Foxborough)""}"
openfootball,1f_vs_2c,1F,2C,,2026-06-29,,,,,,,"{""round"": ""Round of 32"", ""time"": ""19:00 UTC-6"", ""ground"": ""Monterrey (Guadalupe)""}"
openfootball,1c_vs_2f,1C,2F,,2026-06-29,,,,,,,"{""round"": ""Round of 32"", ""time"": ""12:00 UTC-5"", ""ground"": ""Houston""}"
openfootball,1i_vs_3c_d_f_g_h,1I,3C/D/F/G/H,,2026-06-30,,,,,,,"{""round"": ""Round of 32"", ""time"": ""17:00 UTC-4"", ""ground"": ""New York/New Jersey (East Rutherford)""}"
openfootball,2e_vs_2i,2E,2I,,2026-06-30,,,,,,,"{""round"": ""Round of 32"", ""time"": ""12:00 UTC-5"", ""ground"": ""Dallas (Arlington)""}"
openfootball,1a_vs_3c_e_f_h_i,1A,3C/E/F/H/I,,2026-06-30,,,,,,,"{""round"": ""Round of 32"", ""time"": ""19:00 UTC-6"", ""ground"": ""Mexico City""}"
openfootball,1l_vs_3e_h_i_j_k,1L,3E/H/I/J/K,,2026-07-01,,,,,,,"{""round"": ""Round of 32"", ""time"": ""12:00 UTC-4"", ""ground"": ""Atlanta""}"
openfootball,1d_vs_3b_e_f_i_j,1D,3B/E/F/I/J,,2026-07-01,,,,,,,"{""round"": ""Round of 32"", ""time"": ""17:00 UTC-7"", ""ground"": ""San Francisco Bay Area (Santa Clara)""}"
openfootball,1g_vs_3a_e_h_i_j,1G,3A/E/H/I/J,,2026-07-01,,,,,,,"{""round"": ""Round of 32"", ""time"": ""13:00 UTC-7"", ""ground"": ""Seattle""}"
openfootball,2k_vs_2l,2K,2L,,2026-07-02,,,,,,,"{""round"": ""Round of 32"", ""time"": ""19:00 UTC-4"", ""ground"": ""Toronto""}"
openfootball,1h_vs_2j,1H,2J,,2026-07-02,,,,,,,"{""round"": ""Round of 32"", ""time"": ""12:00 UTC-7"", ""ground"": ""Los Angeles (Inglewood)""}"
openfootball,1b_vs_3e_f_g_i_j,1B,3E/F/G/I/J,,2026-07-02,,,,,,,"{""round"": ""Round of 32"", ""time"": ""20:00 UTC-7"", ""ground"": ""Vancouver""}"
openfootball,1j_vs_2h,1J,2H,,2026-07-03,,,,,,,"{""round"": ""Round of 32"", ""time"": ""18:00 UTC-4"", ""ground"": ""Miami (Miami Gardens)""}"
openfootball,1k_vs_3d_e_i_j_l,1K,3D/E/I/J/L,,2026-07-03,,,,,,,"{""round"": ""Round of 32"", ""time"": ""20:30 UTC-5"", ""ground"": ""Kansas City""}"
openfootball,2d_vs_2g,2D,2G,,2026-07-03,,,,,,,"{""round"": ""Round of 32"", ""time"": ""13:00 UTC-5"", ""ground"": ""Dallas (Arlington)""}"
openfootball,w74_vs_w77,W74,W77,,2026-07-04,,,,,,,"{""round"": ""Round of 16"", ""time"": ""17:00 UTC-4"", ""ground"": ""Philadelphia""}"
openfootball,w73_vs_w75,W73,W75,,2026-07-04,,,,,,,"{""round"": ""Round of 16"", ""time"": ""12:00 UTC-5"", ""ground"": ""Houston""}"
openfootball,w76_vs_w78,W76,W78,,2026-07-05,,,,,,,"{""round"": ""Round of 16"", ""time"": ""16:00 UTC-4"", ""ground"": ""New York/New Jersey (East Rutherford)""}"
openfootball,w79_vs_w80,W79,W80,,2026-07-05,,,,,,,"{""round"": ""Round of 16"", ""time"": ""18:00 UTC-6"", ""ground"": ""Mexico City""}"
openfootball,w83_vs_w84,W83,W84,,2026-07-06,,,,,,,"{""round"": ""Round of 16"", ""time"": ""14:00 UTC-5"", ""ground"": ""Dallas (Arlington)""}"
