scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-11 16:54:13 UTC,2026-06-21 15:00:00 UTC,https://www.oddsportal.com/football/h2h/cape-verde-MocyWdm7/uruguay-xMk44orG/#4pPp9nn3,Uruguay,Cape Verde,World Championship 2026,,,,Hard Rock Stadium,"Miami Gardens, FL",USA,"[{'1': '1.42', 'X': '4.33', '2': '7.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.41', 'X': '4.10', '2': '6.25', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.44', 'X': '4.60', '2': '7.50', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.50', '2': '7.50', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:54:29 UTC,2026-06-21 18:00:00 UTC,https://www.oddsportal.com/football/h2h/egypt-bejDn7NN/new-zealand-rLctHkpU/#QeaikheU,New Zealand,Egypt,World Championship 2026,,,,BC Place,"Vancouver, BC",Canada,"[{'1': '5.00', 'X': '3.50', '2': '1.73', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '4.40', 'X': '3.30', '2': '1.68', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '4.70', 'X': '3.85', '2': '1.76', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:54:29 UTC,2026-06-22 10:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/austria-naHiWdnt/#Cpq2Y2FE,Argentina,Austria,World Championship 2026,,,,AT&T Stadium,"Arlington, TX",USA,"[{'1': '1.62', 'X': '3.80', '2': '5.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.58', 'X': '3.50', '2': '4.80', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.64', 'X': '3.90', '2': '5.75', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:54:29 UTC,2026-06-22 14:00:00 UTC,https://www.oddsportal.com/football/h2h/france-QkGeVG1n/iraq-K8aAGt6r/#KMRMTaNM,France,Iraq,World Championship 2026,,,,Lincoln Financial Field,"Philadelphia, PA",USA,"[{'1': '1.11', 'X': '9.00', '2': '19.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.10', 'X': '8.00', '2': '16.50', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.12', 'X': '9.00', '2': '26.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:54:45 UTC,2026-06-22 17:00:00 UTC,https://www.oddsportal.com/football/h2h/norway-8rP6JO0H/senegal-hOIsJLJr/#xSUJLPV8,Norway,Senegal,World Championship 2026,,,,MetLife Stadium,"East Rutherford, NJ",USA,"[{'1': '2.10', 'X': '3.30', '2': '3.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.20', '2': '3.20', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.60', '2': '3.40', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:54:45 UTC,2026-06-22 20:00:00 UTC,https://www.oddsportal.com/football/h2h/algeria-nc87N1BR/jordan-vNcmJoU2/#dx1FAaN7,Jordan,Algeria,World Championship 2026,,,,Levi's Stadium,"Santa Clara, CA",USA,"[{'1': '6.50', 'X': '3.80', '2': '1.53', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '5.75', 'X': '3.80', '2': '1.47', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '6.50', 'X': '4.30', '2': '1.52', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:54:45 UTC,2026-06-23 10:00:00 UTC,https://www.oddsportal.com/football/h2h/portugal-WvJrjFVN/uzbekistan-EZYKKRMc/#nRFcNx7D,Portugal,Uzbekistan,World Championship 2026,,,,NRG Stadium,"Houston, TX",USA,"[{'1': '1.25', 'X': '6.50', '2': '9.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.23', 'X': '5.50', '2': '8.75', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.50', '2': '12.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:55:01 UTC,2026-06-23 13:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/ghana-nNBjHale/#KhgvzGjJ,England,Ghana,World Championship 2026,,,,Gillette Stadium,"Foxborough, MA",USA,"[{'1': '1.33', 'X': '5.00', '2': '9.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.29', 'X': '4.80', '2': '8.00', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.31', 'X': '5.50', '2': '10.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '1.30', 'X': '5.70', '2': '9.00', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:55:01 UTC,2026-06-23 16:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/panama-OWKqbCfi/#CSkWyxM6,Panama,Croatia,World Championship 2026,,,,BMO Field,"Toronto, ON",Canada,"[{'1': '6.00', 'X': '4.00', '2': '1.53', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '6.00', 'X': '3.60', '2': '1.49', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '6.50', 'X': '4.00', '2': '1.55', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:55:01 UTC,2026-06-23 19:00:00 UTC,https://www.oddsportal.com/football/h2h/colombia-G02s4PCS/d-r-congo-phn9mm8H/#K0YnEaMq,Colombia,D.R. Congo,World Championship 2026,,,,Estadio Akron,Zapopan,Mexico,"[{'1': '1.45', 'X': '4.33', '2': '7.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.44', 'X': '3.75', '2': '6.25', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.40', '2': '8.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
